,full_text
121,"['ibarat', 'pertandingan', 'sepak', 'bola', 'suporter', 'kalah', 'kecewangomel', 'bahagia', 'mencari', 'cari', 'kesalahan', 'musuh', 'yang', 'dialami', 'kubu', 'pendukung', 'team', 'anies', 'yng', 'bahagia', 'ini']"
122,"['genuinely', 'nanya', 'misal', 'aku', 'pilih', 'aniesmuhaimin', 'tp', 'aku', 'ga', 'pilih', 'legislatif', 'pks', 'nasdem', 'nya', 'contoh', 'pks', 'ruu', 'nya', 'problematik', 'gitu', 'gimana']"
123,"['jelas', 'tak', 'level', 'laaah', 'mbak', 'pak', 'anies', 'tuuuh', 'capres', 'bang', 'fahri', 'cuman', 'juru', 'bicara', 'kl', 'buat', 'tweet', 'tuuuh', 'pak', 'baru', 'tuuuh', 'selevel', 'dgn', 'pak', 'aniessama2', 'capres', 'cerdas', 'dikit', 'berhusnudzon', 'napa', 'siih', 'mbak', 'kata', 'nya', 'pilpres', 'hrs', 'gembiralupa', 'yaa', 'gemoy']"
124,"['anies', 'angkuh', 'menegakan', 'hukum', 'padahal', 'para', 'pendukungnya', 'bermasalah', 'berani', 'tego', 'gacoan', 'olivia', 'jill', 'biden', 'daesang', 'gempa', 'adidas', 'surabaya', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik', 'melania', 'bangtan', 'debut']"
125,"['mmmmkayaknya', 'tidak', 'yakin', 'nih', 'sama', 'kualitas', 'capres', 'dukung', 'sehitidak', 'butuh', 'bawa2', 'nama', 'orang', 'delusi', 'anda', 'lebih', 'baik', 'anies', 'wake', 'up', 'bro', 'ikhlaskan', 'hati', 'kebaikan', 'indonesia', 'seluruhnya', 'biarkan', 'terbaik', 'yang', 'terpilih']"
126,"['anies', 'sosok', 'capres', 'tidak', 'memiliki', 'adab', 'orang', 'lebih', 'tua', 'gacoan', 'olivia', 'jill', 'biden', 'daesang', 'gempa', 'adidas', 'surabaya', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik', 'melania', 'bangtan', 'debut']"
127,"['macam', 'serangan', 'anies', 'lalu', 'anies', 'nampol', 'balik', 'woiii']"
128,"['terjadi', 'anggota', 'mrk', 'yang', 'terbunuh', 'kan', '6', 'orang', 'udah', 'terbunuh', 'ga', 'dapet', 'jabatan', 'anies', 'ga', 'nolong', 'klo', 'mrk', 'mau', 'nyoblos', 'dukung', 'cm', 'hak', 'warga', 'negara', 'mau', 'golput', 'jg', 'hak', 'mrk', 'selama', 'mrk', 'bukan', 'genocide', 'supporters', 'or', 'genocide', 'actors', 'gak', 'dikasih', 'jabatan', 'mrk', 'ga', 'bsa', 'berbuat', 'ap2']"
129,"['anies', 'selalu', 'terjebak', 'asumsi', 'pribadi', 'adanya', 'dukungan', 'bukti', 'fakta', 'gacoan', 'olivia', 'jill', 'biden', 'daesang', 'gempa', 'adidas', 'surabaya', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik', 'melania', 'bangtan', 'debut']"
130,"['ga', 'yang', 'peduli', 'org2', 'km50', 'pemuja', 'riziq', 'soalnya', 'ga', 'usah', 'menurunkan', 'suara', 'anies', 'dgn', 'org2', 'kaya', 'riziq', 'pengikutnya']"
131,"['jgn', 'suuzon', 'bang', 'orang', 'paling', 'ikhlas', 'pak', 'gak', 'mungkin', 'mainkan', 'cara2', 'kotor', 'itu', 'pak', 'ikhlas', 'kalo', 'tidak', 'terpilih', 'pak', 'ikhlas', 'klo', 'anies', 'terpilih', 'tapi', 'kok', 'aku', 'percaya', '99', 'sama', 'statemt', 'abang']"
132,"['sukasuka', 'orang', 'lah', 'mau', 'milih', 'anies', 'kaga', 'lucu', 'bgt', 'pendukung', 'anies', 'tukang', 'guilttrip', 'orang', 'liat', 'noh', 'swing', 'voters', 'belum', 'mau', 'ngevote', 'anies', 'awokwok']"
133,"['anies', 'memperlihatkan', 'kemunafikan', 'terkait', 'sikapnya', 'keberlanjutan', 'ikn', 'gacoan', 'olivia', 'jill', 'biden', 'daesang', 'gempa', 'adidas', 'surabaya', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik', 'melania', 'bangtan', 'debut']"
134,"['anies', 'sama', 'jadi', 'seolah2', 'kerja', 'sama', 'padahal', 'ngalir', 'aja']"
135,"['semoga', 'anies', 'menang', 'amin', 'aamiin', 'aminkan', 'gaes']"
136,"['agama', 'islam', 'mengajarkan', 'untuk', 'berbakti', 'kedua', 'orang', 'tua', 'dinding', 'adidas', 'karina', 'surabaya', 'anies', 'daesang', 'gempa', 'islam']"
